municipio;homens;mulheres;branca;preta;amarela;parda;indigena;ignorado;urbana;rural;comorbidades
Caseiros;1517;1490;2582;33;2;389;1;;1488;1519;318
Catuípe;4590;4733;7924;236;43;1119;1;;5998;3325;820
Caxias do Sul;213612;221952;360633;14424;1801;58203;499;4;419406;16158;54147
Centenário;1541;1424;2874;17;9;65;;;949;2016;276
Cerrito;3213;3189;5555;431;16;385;15;;3747;2655;578
Cerro Branco;2225;2229;3787;179;24;461;3;;1274;3180;463
Cerro Grande;1209;1208;1796;117;18;484;2;;830;1587;221
Cerro Grande do Sul;5355;4913;8510;409;40;1308;1;;2484;7784;1255
Cerro Largo;6617;6672;10909;246;36;2095;3;;10571;2718;1425
Chapada;4593;4784;8296;86;46;949;;;5573;3804;928
Charqueadas;19533;15787;30277;1999;49;2964;31;;34490;830;4378
Charrua;1728;1743;1885;11;3;48;1524;;584;2887;312
Chiapetta;1975;2069;3200;152;7;685;;;2470;1574;358
Chuí;2921;2996;5265;170;8;466;8;;5697;220;647
Chuvisca;2603;2341;4591;219;24;108;2;;273;4671;559
Cidreira;6245;6423;10557;769;20;1233;89;;12260;408;1515
Ciríaco;2512;2410;3864;105;52;899;2;;2494;2428;462
Colinas;1208;1212;2361;13;4;38;4;;1105;1315;224
Colorado;1727;1823;2942;278;14;316;;;1844;1706;298
Condor;3219;3333;5073;221;20;1234;4;;4034;2518;646
Constantina;4776;4976;7859;226;13;1176;478;;6510;3242;970
Coqueiro Baixo;791;737;1406;59;;63;;;282;1246;136
Coqueiros do Sul;1255;1202;2218;80;11;148;;;904;1553;217
Coronel Barros;1219;1240;2133;48;10;267;1;;1093;1366;235
Coronel Bicaco;3802;3946;5595;245;19;1882;7;;5068;2680;711
Coronel Pilar;894;831;1679;11;;35;;;174;1551;144
Cotiporã;2033;1884;3710;45;;162;;;2048;1869;376
Coxilha;1388;1438;2371;109;16;320;10;;1739;1087;281
Crissiumal;6913;7171;12657;108;8;1311;;;6124;7960;1269
Cristal;3686;3594;6052;702;4;521;1;;4077;3203;796
Cristal do Sul;1441;1385;2118;56;1;651;;;931;1895;270
Cruz Alta;29743;33078;53733;2204;205;6594;85;;60594;2227;5882
Cruzaltense;1101;1040;1942;93;9;97;;;489;1652;182
Cruzeiro do Sul;6157;6163;10886;382;75;976;1;;7476;4844;1252
David Canabarro;2410;2273;4164;114;2;403;;;1912;2771;475
Derrubadas;1604;1586;2540;79;28;543;;;901;2289;267
Dezesseis de Novembro;1469;1397;2347;35;17;467;;;667;2199;224
Dilermando de Aguiar;1579;1485;2307;115;39;603;;;991;2073;283
Dois Irmãos;13653;13919;25248;414;126;1727;57;;27276;296;3660
Dois Irmãos das Missões;1080;1077;1471;241;27;417;1;;1094;1063;197
Dois Lajeados;1653;1625;3099;69;7;103;;;1564;1714;337
Dom Feliciano;7398;6982;11901;1282;109;1087;1;;3334;11046;1568
Dom Pedro de Alcântara;1341;1209;2488;29;7;26;;;741;1809;254
Dom Pedrito;19107;19791;30562;3210;106;4992;28;;35255;3643;3760
Dona Francisca;1678;1723;2688;176;5;532;;;2146;1255;287
Doutor Maurício Cardoso;2646;2667;4448;43;20;802;;;2619;2694;421
Doutor Ricardo;1035;995;1866;54;3;107;;;693;1337;195
Eldorado do Sul;16999;17344;27947;2198;107;3973;118;;30800;3543;4265
Encantado;9932;10578;18375;574;21;1516;24;;17879;2631;2305
Encruzilhada do Sul;12322;12212;19151;2164;247;2916;56;;17119;7415;2536
Engenho Velho;742;785;942;24;4;37;520;;599;928;94
Entre-Ijuís;4415;4523;8002;121;15;800;;;4893;4045;790
Entre Rios do Sul;1556;1524;2341;102;22;613;2;;2130;950;251
Erebango;1490;1480;2112;67;3;519;269;;1958;1012;297
Erechim;46224;49863;81729;2165;248;11827;118;;90552;5535;11085
Ernestina;1562;1526;2833;13;15;227;;;1671;1417;314
Herval;3483;3270;5228;488;44;990;3;;4519;2234;621
Erval Grande;2622;2541;4251;201;25;685;1;;2690;2473;464
Erval Seco;3920;3958;5727;148;69;1725;209;;3437;4441;647
Esmeralda;1572;1596;2297;101;35;733;2;;2128;1040;322
Esperança do Sul;1650;1622;2844;36;13;379;;;844;2428;268
Espumoso;7532;7708;13241;325;99;1567;8;;11131;4109;1520
Estação;2951;3060;5228;241;6;536;;;5119;892;598
Estância Velha;21035;21539;38466;1092;103;2889;24;;41484;1090;5434
Esteio;38973;41782;69121;4813;203;6545;70;3;80643;112;8319
Estrela;15119;15500;27339;962;37;2139;142;;25913;4706;3527
Estrela Velha;1846;1782;3347;72;52;121;36;;1167;2461;376
Eugênio de Castro;1415;1383;2085;75;74;564;;;1480;1318;219
Fagundes Varela;1300;1279;2458;32;7;78;4;;1293;1286;264
Farroupilha;31303;32332;55460;1729;343;5962;141;;55053;8582;7841
Faxinal do Soturno;3274;3398;5354;405;4;909;;;4175;2497;653
Faxinalzinho;1283;1284;1962;122;14;287;182;;1273;1294;227
Fazenda Vilanova;1856;1841;3359;206;3;122;7;;2013;1684;447
Feliz;6161;6198;11878;123;21;332;5;;9416;2943;1463
Flores da Cunha;13552;13574;24154;425;89;2437;21;;20855;6271;3244
Floriano Peixoto;1081;937;1969;9;2;38;;;292;1726;170
Fontoura Xavier;5461;5258;7646;158;86;2827;2;;4100;6619;1020
Formigueiro;3570;3444;5508;992;29;485;;;2769;4245;605
Forquetinha;1265;1214;2418;5;1;55;;;468;2011;227
Fortaleza dos Valos;2241;2334;4008;65;3;499;;;2993;1582;439
Frederico Westphalen;14128;14715;24319;489;64;3962;9;;23333;5510;3199
Garibaldi;15221;15468;28398;403;76;1789;23;;27211;3478;3752
Garruchos;1682;1552;2425;66;4;735;4;;1057;2177;286
Gaurama;2832;3030;5385;77;6;390;4;;3388;2474;533
General Câmara;4233;4214;7641;366;27;409;4;;4966;3481;787
Gentil;889;788;1416;71;22;70;98;;723;954;163
Getúlio Vargas;7849;8305;13713;378;50;1950;63;;13862;2292;1631
Giruá;8338;8737;13841;455;176;2587;16;;12907;4168;1519
Glorinha;3536;3355;6036;387;18;446;4;;2067;4824;829
Gramado;15673;16600;28903;678;42;2641;9;;29013;3260;3800
Gramado dos Loureiros;1151;1118;1508;162;24;272;303;;526;1743;198
Gramado Xavier;2044;1926;2846;84;76;964;;;529;3441;433
Gravataí;124880;130780;216454;17805;558;20560;283;;243497;12163;28807
Guabiju;806;792;1426;37;5;120;10;;738;860;136
Guaíba;46153;49051;78836;7585;254;8390;139;;93064;2140;9965
Guaporé;11124;11690;19480;496;59;2769;10;;20820;1994;2709
Guarani das Missões;3951;4164;7009;130;14;958;4;;5030;3085;720
Harmonia;2151;2103;4055;70;7;119;3;;2456;1798;513
Herveiras;1543;1411;2380;49;1;524;;;384;2570;303
Horizontina;8946;9402;16054;213;51;2025;5;;14569;3779;1946
Hulha Negra;3124;2919;4375;342;25;1292;9;;2909;3134;667
Humaitá;2387;2532;4129;130;43;614;3;;2911;2008;452
Ibarama;2230;2141;4089;49;9;224;;;1053;3318;425
Ibiaçá;2290;2420;4057;71;32;537;13;;2849;1861;457
Ibiraiaras;3588;3583;6041;145;15;590;380;;3817;3354;707
Ibirapuitã;2063;1998;3371;74;43;573;;;2391;1670;393
Ibirubá;9472;9838;16636;227;70;2369;8;;15342;3968;2023
Igrejinha;15461;16199;27686;755;109;3103;7;;30190;1470;3957
Ijuí;38112;40803;65519;1696;252;11399;49;;71550;7365;8421
Ilópolis;2055;2047;3417;145;5;533;2;;2207;1895;393
Imbé;8663;9007;15994;542;23;1089;22;;17661;9;2162
Imigrante;1495;1528;2938;24;4;57;;;1499;1524;291
Independência;3293;3325;5480;168;57;911;2;;4157;2461;565
Inhacorá;1148;1119;1561;105;23;577;1;;1346;921;225
Ipê;3083;2933;5120;160;16;716;4;;2913;3103;662
