municipio;homens;mulheres;branca;preta;amarela;parda;indigena;ignorado;urbana;rural;comorbidades
Passa Sete;2678;2476;4413;123;84;532;2;;555;4599;602
Passo do Sobrado;2996;3015;5518;323;6;164;;;1429;4582;661
Passo Fundo;88050;96776;153732;4607;563;25733;190;1;180120;4706;20834
Paulo Bento;1126;1070;2068;21;10;97;;;594;1602;218
Paverama;4050;3994;7566;213;6;255;4;;4098;3946;828
Pedras Altas;1161;1051;1438;259;14;500;1;;768;1444;203
Pedro Osório;3826;3985;6285;729;8;772;17;;7301;510;731
Pejuçara;2008;1965;3410;56;6;501;;;2672;1301;384
Pelotas;154198;174077;263443;35049;1052;28245;483;3;306193;22082;34165
Picada Café;2594;2588;4787;44;14;334;3;;4559;623;610
Pinhal;1274;1239;1899;36;17;561;;;1290;1223;261
Pinhal da Serra;1110;1020;1584;25;21;500;;;478;1652;194
Pinhal Grande;2314;2157;3898;119;10;438;6;;1895;2576;435
Pinheirinho do Vale;2277;2220;3687;69;10;731;;;915;3582;502
Pinheiro Machado;6381;6399;9487;1738;26;1523;6;;9784;2996;1182
Pirapó;1398;1359;1863;44;10;840;;;777;1980;213
Piratini;10108;9733;15761;1810;213;1970;87;;11570;8271;1967
Planalto;5209;5315;8190;333;43;942;1016;;5932;4592;983
Poço das Antas;1023;994;1953;5;1;53;5;;861;1156;198
Pontão;1984;1873;3260;102;5;490;;;1559;2298;387
Ponte Preta;924;826;1653;16;2;79;;;512;1238;143
Portão;15515;15405;27132;1029;139;2591;29;;25276;5644;3921
Porto Alegre;653787;755564;1116659;143890;4062;141411;3308;21;1409351;;148547
Porto Lucena;2698;2715;4608;76;11;718;;;2331;3082;430
Porto Mauá;1264;1278;2196;15;53;278;;;954;1588;216
Porto Vera Cruz;936;916;1609;116;14;112;1;;440;1412;121
Porto Xavier;5300;5258;7114;141;37;3265;1;;5210;5348;1019
Pouso Novo;953;922;1628;31;1;215;;;632;1243;153
Presidente Lucena;1310;1174;2350;21;18;95;;;1511;973;316
Progresso;3183;2980;5673;69;2;418;1;;1873;4290;646
Protásio Alves;1079;921;1876;74;2;45;3;;427;1573;191
Putinga;2097;2044;3762;62;4;313;;;1577;2564;374
Quaraí;11228;11793;19114;721;45;3129;12;;21310;1711;2119
Quatro Irmãos;890;885;1361;36;2;376;;;916;859;188
Quevedos;1447;1263;2321;25;1;363;;;852;1858;289
Quinze de Novembro;1799;1854;3377;37;4;235;;;1961;1692;345
Redentora;5210;5012;4952;146;63;1028;4033;;3002;7220;1045
Relvado;1071;1084;2052;16;12;75;;;734;1421;182
Restinga Seca;7815;8034;12776;1590;28;1442;13;;8982;6867;1537
Rio dos Índios;1860;1756;2720;114;31;597;154;;755;2861;249
Rio Grande;94983;102245;157870;16834;601;21406;486;31;189429;7799;21033
Rio Pardo;18318;19273;31776;2637;80;3079;19;;25614;11977;3759
Riozinho;2203;2127;3937;46;23;312;12;;2748;1582;477
Roca Sales;5090;5194;9185;293;25;777;4;;6600;3684;1101
Rodeio Bonito;2846;2897;4924;57;7;731;24;;4310;1433;589
Rolador;1318;1228;2128;37;12;367;2;;608;1938;220
Rolante;9767;9718;17791;259;53;1368;14;;15310;4175;2217
Ronda Alta;5009;5212;7621;244;20;1308;1028;;6867;3354;1041
Rondinha;2718;2800;5089;103;4;322;;;2317;3201;472
Roque Gonzales;3622;3581;5146;191;47;1819;;;3087;4116;667
Rosário do Sul;19311;20396;31736;2554;137;5262;18;;34931;4776;3795
Sagrada Família;1339;1256;1905;70;17;602;1;;785;1810;251
Saldanha Marinho;1390;1479;2436;58;6;367;2;;1927;942;258
Salto do Jacuí;5878;6002;9304;387;131;1667;391;;10208;1672;1258
Salvador das Missões;1377;1292;2544;15;5;105;;;1094;1575;283
Salvador do Sul;3412;3335;6324;95;4;323;1;;4009;2738;834
Sananduva;7604;7769;13645;149;20;1546;13;;10697;4676;1604
Santa Bárbara do Sul;4341;4488;7351;240;37;1201;;;6985;1844;812
Santa Cecília do Sul;839;816;1365;56;17;215;2;;480;1175;159
Santa Clara do Sul;2845;2852;5498;43;19;137;;;2855;2842;673
Santa Cruz do Sul;56943;61431;102228;6487;333;9284;42;;105190;13184;13622
Santa Maria;123634;137397;218413;13521;718;28046;326;7;248347;12684;28594
Santa Maria do Herval;3101;2952;5900;22;7;123;1;;4362;1691;682
Santa Margarida do Sul;1272;1080;1970;103;21;258;;;552;1800;258
Santana da Boa Vista;4169;4073;7080;430;67;665;;;3723;4519;745
Sant'Ana do Livramento;39376;43088;65371;6492;174;10347;78;2;74410;8054;7184
Santa Rosa;33483;35104;58724;978;181;8670;34;;60366;8221;7661
Santa Tereza;889;831;1656;30;1;29;4;;627;1093;156
Santa Vitória do Palmar;15469;15521;25296;2633;133;2874;54;;26890;4100;2840
Santiago;23571;25500;42089;925;133;5883;41;;44735;4336;4830
Santo Ângelo;36586;39689;62655;1362;500;11705;53;;71804;4471;7748
Santo Antônio do Palma;1112;1027;1966;24;5;143;1;;681;1458;220
Santo Antônio da Patrulha;19756;19929;35559;2237;44;1827;18;;28114;11571;4305
Santo Antônio das Missões;5579;5631;8086;536;52;2522;14;;6788;4422;926
Santo Antônio do Planalto;980;1007;1806;15;8;158;;;1233;754;200
Santo Augusto;6811;7157;11351;222;58;2331;6;;11380;2588;1347
Santo Cristo;7190;7188;13264;166;7;940;1;;7781;6597;1434
Santo Expedito do Sul;1239;1222;2304;38;18;101;;;872;1589;218
São Borja;30248;31423;49882;2041;142;9572;34;;55138;6533;5973
São Domingos do Sul;1470;1456;2702;70;5;149;;;1748;1178;288
São Francisco de Assis;9493;9761;16900;490;16;1829;11;8;13495;5759;1759
São Francisco de Paula;10402;10135;15732;1130;344;3263;68;;13004;7533;2116
São Gabriel;29429;30996;48141;3928;188;8078;90;;53775;6650;6068
São Jerônimo;11026;11108;18724;1222;154;2017;17;;17055;5079;2418
São João da Urtiga;2401;2325;4353;65;7;301;;;2291;2435;441
São João do Polêsine;1272;1363;2107;211;1;316;;;1354;1281;233
São Jorge;1379;1395;2588;90;;96;;;1451;1323;270
São José das Missões;1377;1343;1752;23;15;929;1;;828;1892;240
São José do Herval;1136;1068;1622;67;14;501;;;867;1337;196
São José do Hortêncio;2088;2006;4000;15;3;76;;;2645;1449;492
São José do Inhacorá;1125;1075;2082;13;3;102;;;832;1368;194
São José do Norte;13003;12500;19421;2036;79;3956;11;;17383;8120;2765
São José do Ouro;3382;3522;5854;119;36;879;16;;4423;2481;693
